fixture_id,kickoff_utc,home_id,away_id,stage,group_label,status
1,2026-06-11T19:00:00+00:00,1,2,Group A,A,scheduled
2,2026-06-12T02:00:00+00:00,3,4,Group A,A,scheduled
3,2026-06-12T19:00:00+00:00,5,8,Group B,B,scheduled
4,2026-06-13T01:00:00+00:00,13,14,Group D,D,scheduled
5,2026-06-14T01:00:00+00:00,12,11,Group C,C,scheduled
6,2026-06-13T04:00:00+00:00,15,16,Group D,D,scheduled
7,2026-06-13T22:00:00+00:00,9,10,Group C,C,scheduled
8,2026-06-13T19:00:00+00:00,7,6,Group B,B,scheduled
9,2026-06-14T23:00:00+00:00,19,18,Group E,E,scheduled
10,2026-06-14T17:00:00+00:00,17,20,Group E,E,scheduled
11,2026-06-14T20:00:00+00:00,21,22,Group F,F,scheduled
12,2026-06-15T02:00:00+00:00,24,23,Group F,F,scheduled
13,2026-06-15T22:00:00+00:00,31,30,Group H,H,scheduled
14,2026-06-15T16:00:00+00:00,29,32,Group H,H,scheduled
15,2026-06-16T01:00:00+00:00,26,28,Group G,G,scheduled
16,2026-06-15T19:00:00+00:00,25,27,Group G,G,scheduled
17,2026-06-16T19:00:00+00:00,33,34,Group I,I,scheduled
18,2026-06-16T22:00:00+00:00,36,35,Group I,I,scheduled
19,2026-06-17T01:00:00+00:00,37,39,Group J,J,scheduled
20,2026-06-16T04:00:00+00:00,38,40,Group J,J,scheduled
21,2026-06-17T23:00:00+00:00,48,47,Group L,L,scheduled
22,2026-06-17T20:00:00+00:00,45,46,Group L,L,scheduled
23,2026-06-17T17:00:00+00:00,41,44,Group K,K,scheduled
24,2026-06-18T02:00:00+00:00,43,42,Group K,K,scheduled
25,2026-06-18T16:00:00+00:00,4,2,Group A,A,scheduled
26,2026-06-18T19:00:00+00:00,6,8,Group B,B,scheduled
27,2026-06-18T22:00:00+00:00,5,7,Group B,B,scheduled
28,2026-06-19T01:00:00+00:00,1,3,Group A,A,scheduled
29,2026-06-20T01:00:00+00:00,9,12,Group C,C,scheduled
30,2026-06-19T22:00:00+00:00,11,10,Group C,C,scheduled
31,2026-06-20T03:00:00+00:00,16,14,Group D,D,scheduled
32,2026-06-19T19:00:00+00:00,13,15,Group D,D,scheduled
33,2026-06-20T20:00:00+00:00,17,19,Group E,E,scheduled
34,2026-06-21T00:00:00+00:00,18,20,Group E,E,scheduled
35,2026-06-20T17:00:00+00:00,21,24,Group F,F,scheduled
36,2026-06-20T04:00:00+00:00,23,22,Group F,F,scheduled
37,2026-06-21T22:00:00+00:00,30,32,Group H,H,scheduled
38,2026-06-21T16:00:00+00:00,29,31,Group H,H,scheduled
39,2026-06-21T19:00:00+00:00,25,26,Group G,G,scheduled
40,2026-06-22T01:00:00+00:00,28,27,Group G,G,scheduled
41,2026-06-23T00:00:00+00:00,35,34,Group I,I,scheduled
42,2026-06-22T21:00:00+00:00,33,36,Group I,I,scheduled
43,2026-06-22T17:00:00+00:00,37,38,Group J,J,scheduled
44,2026-06-23T03:00:00+00:00,40,39,Group J,J,scheduled
45,2026-06-23T20:00:00+00:00,45,48,Group L,L,scheduled
46,2026-06-23T23:00:00+00:00,47,46,Group L,L,scheduled
47,2026-06-23T17:00:00+00:00,41,43,Group K,K,scheduled
