team_id,name,fifa_code,confederation,group_label,odds_name,history_name
1,Mexico,MEX,CONCACAF,A,,
2,South Africa,RSA,CAF,A,,
3,South Korea,KOR,AFC,A,,
4,Czechia,CZE,UEFA,A,Czech Republic,Czech Republic
5,Canada,CAN,CONCACAF,B,,
6,Switzerland,SUI,UEFA,B,,
7,Qatar,QAT,AFC,B,,
8,Bosnia and Herzegovina,BIH,UEFA,B,Bosnia & Herzegovina,
9,Brazil,BRA,CONMEBOL,C,,
10,Morocco,MAR,CAF,C,,
11,Scotland,SCO,UEFA,C,,
12,Haiti,HAI,CONCACAF,C,,
13,United States,USA,CONCACAF,D,USA,
14,Paraguay,PAR,CONMEBOL,D,,
15,Australia,AUS,AFC,D,,
16,Turkiye,TUR,UEFA,D,Turkey,Turkey
17,Germany,GER,UEFA,E,,
18,Ecuador,ECU,CONMEBOL,E,,
19,Ivory Coast,CIV,CAF,E,,
20,Curacao,CUW,CONCACAF,E,Curaçao,Curaçao
21,Netherlands,NED,UEFA,F,,
22,Japan,JPN,AFC,F,,
23,Tunisia,TUN,CAF,F,,
24,Sweden,SWE,UEFA,F,,
25,Belgium,BEL,UEFA,G,,
26,Iran,IRN,AFC,G,,
27,Egypt,EGY,AFC,G,,
28,New Zealand,NZL,OFC,G,,
29,Spain,ESP,UEFA,H,,
30,Uruguay,URU,CONMEBOL,H,,
31,Saudi Arabia,KSA,AFC,H,,
32,Cape Verde,CPV,CAF,H,,
33,France,FRA,UEFA,I,,
34,Senegal,SEN,CAF,I,,
35,Norway,NOR,UEFA,I,,
36,Iraq,IRQ,AFC,I,,
37,Argentina,ARG,CONMEBOL,J,,
38,Austria,AUT,UEFA,J,,
39,Algeria,ALG,CAF,J,,
40,Jordan,JOR,AFC,J,,
41,Portugal,POR,UEFA,K,,
42,Colombia,COL,CONMEBOL,K,,
43,Uzbekistan,UZB,AFC,K,,
44,DR Congo,COD,CAF,K,,
45,England,ENG,UEFA,L,,
46,Croatia,CRO,UEFA,L,,
47,Panama,PAN,CONCACAF,L,,
48,Ghana,GHA,CAF,L,,
